Iterate,Exit_code,Out_time,partial_feeds,time_L,time_P,time_G
1,success,52.70355481782279,1,51.509364524198304,0.7377337268553674,0.4564565667691204
2,fail,86.23401789222868,2,73.84006915447912,10.257577538791965,2.136371198957587
3,fail,45.16512741167547,0,45.16512741167547,0,0
4,success,118.81949579607792,1,102.80823974380566,15.573813169354443,0.4374428829178214
5,success,39.73001816294756,1,35.36232715257525,3.47141436877723,0.8962766415950777
6,fail,1.1122388998046517,0,1.1122388998046517,0,0
7,success,48.99321210182711,1,42.34259031909085,5.90339523253447,0.7472265502017857
8,success,118.5507196377923,1,117.51272727094957,0.9051821010855883,0.1328102657571435
9,success,25.352198877670958,1,19.992615677927557,5.103145817082595,0.2564373826608062
10,success,108.25477379492615,1,79.14442642679472,27.421671979521637,1.6886753886097912
11,success,24.73324066156284,1,18.880675747442275,5.131359228188605,0.7212056859319591
12,success,50.80256194131183,1,47.11549733513368,2.778906289011866,0.9081583171662809
13,fail,11.5521401471565,0,11.5521401471565,0,0
14,fail,9.483927116586761,0,9.483927116586761,0,0
15,success,34.68079422245545,1,30.500847425528875,2.887602085247636,1.2923447116789344
16,success,47.62623020427638,1,45.426464652649564,1.0467750642646603,1.1529904873621586
17,success,40.46916024168997,1,37.87918129040034,1.6613690800261112,0.9286098712635161
18,fail,8.529858645366332,0,8.529858645366332,0,0
19,success,37.3974203190018,1,28.3813101834846,8.68305431659811,0.3330558189190924
20,success,19.705153256851602,1,13.604047065160358,4.207730595743716,1.8933755959475282
21,success,99.45186109455398,1,98.04944426753609,0.32430684091112416,1.0781099861067656
22,success,30.699387648624544,1,25.91498467082964,3.4412279233090954,1.34317505448581
23,success,77.21534914866336,1,52.99484092146719,24.007511910588136,0.21299631660804152
24,success,9.119612458111991,1,8.031823095815529,0.7663169852457941,0.321472377050668
25,fail,5.1333706406876445,0,5.1333706406876445,0,0
26,fail,14.575542639100794,0,14.575542639100794,0,0
27,success,153.56821879574622,1,144.1906525488264,5.494841554084841,3.8827246928349743
28,fail,85.58169180364484,2,74.4211708185419,10.156823953459702,1.0036970316432416
29,success,61.46504799605601,1,50.470429023134145,9.81932657232064,1.1752924006012204
30,success,24.828587610761794,1,21.802745856435838,1.4261475955280702,1.5996941587978843
31,fail,18.03784722378278,0,18.03784722378278,0,0
32,fail,1.302545741200447,0,1.302545741200447,0,0
33,success,32.16356686005021,1,15.69339403706947,14.879560469950917,1.5906123530298206
34,fail,5.684625352732837,0,5.684625352732837,0,0
35,fail,5.81928757019341,0,5.81928757019341,0,0
36,fail,6.337184249423444,0,6.337184249423444,0,0
37,success,44.7615460806942,1,36.81866930629659,7.745735877704742,0.19714089669287205
38,success,18.47040470928162,1,13.51354963494838,4.5333831885999345,0.4234718857333064
39,success,135.16259762965237,1,132.04426892242688,0.43302414944690026,2.6853045577785735
40,success,46.35749826599584,1,28.028257623405995,17.41468551463664,0.9145551279532012
41,success,45.133456580186426,1,5.97001070846897,38.504916579391036,0.6585292923264205
42,success,60.28901546444136,1,59.25576834179695,0.329923783428967,0.7033233392154438
43,success,23.790372664023675,1,11.745937349785986,11.291157750789724,0.7532775634479644
44,success,82.2442740950684,1,69.02815110890612,12.858589939766564,0.35753304639573097
45,success,63.40408740559383,1,58.84315873343842,4.182069534039164,0.3788591381162405
46,success,38.00896007745081,1,32.831395559986134,4.414144591340146,0.7634199261245252
47,success,101.95818726152436,1,100.12489354639273,1.5635404014028609,0.2697533137287694
48,success,104.01987888028785,1,85.49441202165595,17.667385093118977,0.8580817655129223
49,success,28.32343780339537,1,25.816008549785977,2.2987104890137084,0.2087187645956874
50,fail,12.169872242537263,0,12.169872242537263,0,0
51,fail,7.771111625228494,0,7.771111625228494,0,0
52,success,157.48326254359125,1,155.676650266026,1.577140772715211,0.22947150485003578
53,success,41.40910971130454,1,30.98787060779862,9.412867081862808,1.0083720216431085
54,success,28.370410739163525,1,25.200272656306097,0.8758704364299774,2.2942676464274485
55,fail,7.951453549772207,0,7.951453549772207,0,0
56,success,10.825709789441488,1,8.406833412083486,1.318808642681688,1.1000677346763137
57,success,15.219228566847379,1,14.789391667162004,0.4197360996936828,0.010100799991691575
58,success,155.23561929036543,1,153.04956066758052,2.0071782800368965,0.17888034274801612
59,success,69.02883717129653,1,64.04343356623545,4.486514634708376,0.4988889703527093
60,fail,97.31317536991983,2,87.51017075593451,7.579253934446386,2.2237506795389335
61,success,46.36133432316314,1,39.932345554470125,5.203738943463625,1.2252498252293873
62,success,30.69827999510416,1,21.844807767177866,8.821175987596552,0.03229624032974243
63,success,73.04552082339336,1,36.21684821154523,36.584234142438184,0.24443846940994263
64,success,35.30581688798306,1,21.415270580714143,13.468482111881855,0.4220641953870654
65,success,51.739337798034384,1,49.78299436569616,1.9146081106737256,0.04173532166449814
66,fail,14.765301997864489,0,14.765301997864489,0,0
67,success,29.51508578784802,1,23.006539618687572,4.543725855045732,1.964820314114714
68,success,32.291529301606325,1,28.154399982969124,3.9506710201663777,0.18645829847082496
69,success,254.46398523383797,1,244.9165384078692,7.6397408633948585,1.9077059625739101
70,fail,0.1427885890007019,0,0.1427885890007019,0,0
71,success,131.03202995335374,1,120.6660689537242,7.802335166735955,2.5636258328935866
72,success,56.86826262289695,1,44.96205991938906,11.04045447131935,0.8657482321885349
73,success,59.563408351295514,1,54.80918536599959,4.652732793180616,0.10149019211530685
74,success,12.462186759926306,1,2.6152112606243225,9.106829193931938,0.7401463053700449
75,success,78.27054206091796,1,65.3399811367494,11.39943635275495,1.5311245714136086
